,dist,solution_id,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_good_obs_ac,astrometric_n_bad_obs_al,astrometric_n_bad_obs_ac,astrometric_delta_q,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_primary_flag,astrometric_relegation_factor,astrometric_weight_al,astrometric_weight_ac,astrometric_priors_used,matched_observations,duplicated_source,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_variable_flag,l,b,ecl_lon,ecl_lat
1,0.00017633273676384825,1.6353784107819336e+18,1.022663637669586e+18,766964354.0,2015.0,138.2546320482183,0.12695682454147758,52.991248174138256,0.2718612184566512,,,,,,,-0.3527,,,,,,,,,,99.0,0.0,96.0,0.0,3.0,0.0,,0.5683592325886639,4.666330748282321,False,2.405652,1.3051388,,2.0,17.0,False,0.43521705,0.6887344,0.43185434,0.8222418,-100.953964,84.249626,18.801933,-14.54718,110.0,3286.5857194290925,44.35484005940187,16.732907654187926,b'NOT_AVAILABLE',164.58117617152993,42.40886226730493,123.23684124871293,34.97559367790127
0,0.0001242482010988212,1.6353784107819336e+18,8.188024265551489e+17,986734763.0,2015.0,140.30346065590373,0.302684831782563,45.484439924523194,0.42325945957648387,,,,,,,-0.52395,,,,,,,,,,136.0,0.0,136.0,0.0,0.0,0.0,,0.0,0.0,False,1.0,0.38272667,,2.0,19.0,False,0.30834943,0.4900501,0.48236156,0.6732121,-88.83251,60.216194,5.2822137,-24.84321,118.0,609.4261167978258,3.4539731286313824,18.562467409184045,b'NOT_AVAILABLE',174.5913808702681,44.790011354756516,127.83857112423021,28.430451380685138
0,0.0002729211095499639,1.6353784107819336e+18,3.8447480707520404e+18,302680729.0,2015.0,141.23256093757217,4.47650755054604,2.323713617580956,1.9523301582649482,,,,,,,-0.9845,,,,,,,,,,53.0,0.0,52.0,0.0,1.0,0.0,,0.0,-7.32868874037815e-16,False,1.0,0.3591174,,2.0,11.0,False,0.3170479,0.10424084,0.12462277,0.9554198,-165.74963,15.672005,11.108892,-28.155254,68.0,710.3452520355623,10.6969272703378,18.396096358909855,b'NOT_AVAILABLE',230.4160470674248,34.78650023633853,142.85541003671372,-12.220110338146444
0,1.3497657054212372e-05,1.6353784107819336e+18,6.468843732783732e+17,1061261157.0,2015.0,147.84403941058454,5.292697926344944,26.587232935539962,4.228954492266881,,,,,,,-0.9976,,,,,,,,,,34.0,0.0,34.0,0.0,0.0,0.0,,0.0,0.0,False,1.0,1.3369668,,2.0,5.0,False,0.038362093,0.10153657,0.13229977,0.9610708,9.503891,0.8521111,21.644115,-25.525131,34.0,1444.5456347358313,8.304451132708358,17.6254418982846,b'NOT_AVAILABLE',203.0602730979563,50.058222572769346,140.9255611408087,12.78588609708216
0,0.00014099293891328034,1.6353784107819336e+18,1.0451659978305811e+18,596761542.0,2015.0,150.33682306486637,0.2671644853819946,55.897095118404664,0.18565144918942508,,,,,,,-0.423,,,,,,,,,,115.0,0.0,115.0,0.0,0.0,0.0,,0.4670213138022281,5.471541697055451,False,1.3282014,1.9072129,,2.0,15.0,True,0.6176121,0.4896658,0.7111193,0.27421963,-71.541245,-83.35221,35.69188,4.0427485,115.0,3259.9277088404965,19.218909826704447,16.74175014035763,b'NOT_AVAILABLE',157.5715288493699,48.18802873528059,129.83877569716446,40.49102305673853
0,2.045093926959334e-06,1.6353784107819336e+18,8.270311372169413e+17,825229605.0,2015.0,150.3692071773124,0.14857245754849124,50.46580053402572,0.4965612077896511,,,,,,,-0.4631,,,,,,,,,,165.0,0.0,163.0,0.0,2.0,0.0,,0.3624354577257555,1.9084278006216746,False,1.1063282,1.1315365,,2.0,21.0,False,0.4870787,0.58105844,0.23861875,0.2722847,-102.42243,67.55896,5.4511876,-16.859335,159.0,1552.6908792297104,3.1290957662552565,17.547057559109547,b'NOT_AVAILABLE',165.24096297989482,50.301512839405156,132.89497158525688,35.620845741638085
1,0.0008146029975294902,1.6353784107819336e+18,8.270318931327267e+17,22161349.0,2015.0,150.3681211674954,0.20342440026271946,50.46622826476763,0.7873224735625711,,,,,,,-0.4771,,,,,,,,,,154.0,0.0,150.0,0.0,4.0,0.0,,0.6548597025342843,6.633374073795283,False,1.2004431,0.59267664,,2.0,20.0,False,0.47822368,0.558989,0.21711253,0.24909982,-103.980774,67.25508,0.1407812,-17.335358,150.0,1145.3179870974782,4.392032114318789,17.877454860537522,b'NOT_AVAILABLE',165.24069854028963,50.300717668838644,132.89397813177948,35.62093881754562
0,4.231126786266946e-05,1.6353784107819336e+18,8.068531747032462e+17,908965063.0,2015.0,151.1455173331811,7.081746269349951,41.21187876348608,11.389234093582486,,,,,,,-0.99895,,,,,,,,,,162.0,0.0,160.0,0.0,2.0,0.0,,0.0,0.0,False,1.0,0.17801233,,2.0,21.0,False,0.38374144,0.5338896,0.35312852,0.9261486,26.835903,59.15448,-43.882103,-28.92607,168.0,349.1876675482323,3.5665725694337285,19.167122821118742,b'NOT_AVAILABLE',179.51319216363646,53.14944819060505,137.90907889062382,27.391638209650647
1,0.001040173412349468,1.6353784107819336e+18,8.068531747052485e+17,850875528.0,2015.0,151.14503395284535,7.739675055962451,41.21089481596597,12.463932670301876,,,,,,,-0.9989,,,,,,,,,,125.0,0.0,123.0,0.0,2.0,0.0,,0.6278422072860478,0.5970177569359367,False,1.3548096,0.17269658,,2.0,15.0,True,0.29394138,0.6899547,0.31830513,0.9293222,37.69347,61.129,-43.244385,-28.244198,123.0,390.925409554958,3.681079811338098,19.044535314270142,b'NOT_AVAILABLE',179.51490795513652,53.14924443383435,137.90913701509717,27.390590486942717
0,0.0008263532199301411,1.6353784107819336e+18,3.828696197422634e+18,867377654.0,2015.0,153.06628308257174,1.9493723515760768,-3.1173511461874845,8.762660031735493,,,,,,,-0.7802,,,,,,,,,,52.0,0.0,52.0,0.0,0.0,0.0,,0.0,0.0,False,1.0,0.70549905,,2.0,9.0,False,0.5165971,0.3401067,0.25080198,0.87526596,-167.13655,51.39448,13.305359,-29.309523,51.0,987.0944772069789,4.969962693503202,18.03887325874697,b'NOT_AVAILABLE',244.86116619170625,41.14919132128865,156.16201789575396,-13.285527240287875
