qso_name,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,pmra_pmdec_corr,astrometric_pseudo_colour,astrometric_pseudo_colour_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag
SDSS0246-0825,5174409201871203584,41.642115732826355,0.19256657058632348,-8.426722058742689,0.15501360075770684,1.6306046269406778,0.2399266270951508,6.7962637,0.5017107533566126,0.2994131936335432,0.14105153063239798,0.31343312937144086,0.25210702,1.5949786653323756,0.03858488065783166,16.817862,16.785036,16.409134
SDSS0246-0825,5174409201870689152,41.64186177779016,3.631343214497733,-8.426548596349267,7.333267787974865,,,,,,,,,,,18.781427,,
HE0435-1223,3178020716638059136,69.56160351804697,0.18016492334576636,-12.287481668821078,0.12935886455381046,-0.8463300989307619,0.26796680663662836,-3.1583393,-1.005962211068541,0.36640866502647934,0.1074569597432166,0.26412936282222144,-0.08084961,1.6403562003726893,0.04491854075993875,18.837265,18.59963,17.88006
HE0435-1223,3178020716638059264,69.56230465345834,0.11454069524253313,-12.28731415348148,0.09782007027198829,-0.04503759862879622,0.20501312665384439,-0.21968153,-0.04251615997557187,0.241919175870941,-0.11669623075011926,0.19305468100710038,0.09601392,1.6698063158590828,0.0338929972227506,18.575363,18.064249,17.633886
HE0435-1223,3178020716638059392,69.56203780094854,0.2818005675131205,-12.287762633632322,0.22980834515019433,0.28728289607314095,0.3177863002576129,0.90401286,1.4585736327124967,0.5866957301188294,1.1590337645611437,0.4731806777352421,0.56994355,1.7665389604524382,0.05602438503105667,19.301323,,
HE0435-1223,3178020716640423680,69.56188488232203,0.15337924988330054,-12.287160558538389,0.12486706150344955,0.06797714103815813,0.28852752727614656,0.23560019,-0.31657281333592824,0.31708470703249,0.20420117570397808,0.24357953231661916,0.035203867,1.60144428074613,0.04481154136062831,18.894201,,
HE0512-3329,4826116113266112768,78.54537804333266,0.21415763094042511,-33.43969372647485,0.1281320337252152,-0.2729385666905249,0.1636489509483646,-1.6678296,0.05478528369524409,0.394677917323958,-0.16811862419543783,0.2470865402959922,-0.24101073,1.5915626688571187,0.04132110518349262,18.1964,,
HE0512-3329,4826116113268202112,78.54543804405759,0.18183396603080662,-33.439521479336236,0.17858021365227494,-0.5577175965134706,0.2239440512433004,-2.4904327,-1.0102989042038308,0.36904455546131126,-0.3242481905468019,0.36073019018249003,-0.36024016,1.541905220247482,0.04993810065887903,17.908983,17.707201,16.71983
SDSS0746+4403,925907232900521472,116.7208228524933,0.4638936359469883,44.0643645785308,0.29923625797340714,-0.7043504054578348,0.5096611873598268,-1.3819973,-1.183599365804016,0.9154433675701417,-0.40408362283255006,0.5482626485031502,0.24371862,1.5726868584151836,0.09781767359731885,19.63756,19.209435,18.3595
SDSS0746+4403,925907232901783296,116.7211893141351,0.45117300977609814,44.06422022838289,0.28376599631594374,-0.1606340546326947,0.4914715457369693,-0.32684305,0.5001861242323157,0.8853899114048474,0.37496042995990553,0.5091103117040532,0.26131955,1.668721786346278,0.09065517283267797,19.5052,18.866547,18.280357
